150, 150, 150, 3000
1, 160, 70, 80, 70, 1
2, 70, 80, 160, 41, 1
3, 47, 40, 43, 9, 1
4, 31, 25, 38, 6, 1
5, 35, 28, 40, 8, 1
6, 17, 24, 10, 1, 1
7, 47, 40, 43, 10, 1
8, 42, 69, 39, 29, 1
9, 25, 15, 33, 4, 1
10, 40, 47, 43, 19, 1
11, 19, 10, 23, 1, 1
12, 60, 35, 30, 5, 1
13, 21, 24, 24, 1, 1
14, 12, 9, 17, 0, 1
15, 24, 17, 10, 1, 1
16, 40, 35, 28, 3, 1
17, 47, 40, 43, 13, 1
18, 12, 9, 17, 1, 1
19, 19, 10, 23, 2, 1
20, 47, 40, 43, 6, 1
21, 24, 17, 10, 0, 1
22, 21, 40, 24, 4, 1
23, 25, 15, 33, 5, 1
24, 60, 35, 30, 12, 1
25, 12, 17, 9, 1, 1
26, 40, 21, 24, 3, 1
27, 12, 9, 17, 1, 1
28, 60, 35, 30, 9, 1
29, 60, 35, 30, 12, 1
30, 9, 17, 12, 1, 1
31, 10, 23, 19, 1, 1
32, 40, 35, 28, 6, 1
33, 40, 24, 21, 3, 1
34, 19, 23, 10, 1, 1
35, 31, 25, 38, 7, 1
36, 60, 35, 30, 12, 1
37, 35, 28, 40, 8, 1
38, 19, 10, 23, 2, 1
39, 17, 10, 24, 1, 1
40, 35, 28, 40, 5, 1
